program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10020105301601B,67,2024,38,948,38,46.8332,56.4832
10020105301601B,68,2025,30,511,30,51.5832,61.3998
10020105301601D,63,2020,5,46,5,15354.75,18185.5
10020105301601D,64,2021,5,48,6,15561.65,17654.25
10020105301601D,65,2022,30,49,11,31.7814,51.2706
10020105301601D,66,2023,35,63,24,27.6665,66.5165
10020105301601D,67,2024,30,325,30,41.4166,51.3498
10020105301601D,68,2025,30,245,30,46.8498,56.5166
10020105301901A,63,2020,5,44,5,18357,19999.75
10020105301901A,64,2021,3,84,3,18380.75,19614.55
10020105301901A,65,2022,13,208,13,41.4529,54.1118
10020105301901A,66,2023,9,180,9,47,59.3666
10020105301901A,67,2024,12,257,12,44.3664,50.9164
10020105301901A,68,2025,5,519,5,57.8332,66.4164
10020105301901B,63,2020,5,52,5,16362,17716.25
10020105301901B,64,2021,5,59,9,10350.74,16702.4
10020105301901B,65,2022,25,75,16,27.0314,40.1833
10020105301901B,66,2023,21,110,21,35,44.4999
10020105301901B,67,2024,23,242,23,34.9665,45.6
10020105301901B,68,2025,16,607,16,46.8998,52.7164
10020105301902E,66,2023,27,29,9,29.5833,51.6665
10020105301902E,67,2024,30,87,30,18.6665,45.4999
10020105301902E,68,2025,27,236,27,34.3166,46.9998
10020105302101A,63,2020,20,113,20,18324,21191.1
10020105302101A,64,2021,15,499,16,18257.44,20941.5
10020105302101A,65,2022,72,603,72,39.15,59.5333
10020105302101A,66,2023,60,1175,60,45.4165,56.75
10020105302101A,67,2024,35,1025,35,45.1832,52.8664
10020105302101A,68,2025,18,1423,18,56.7332,65.95
10020105302101D,68,2025,25,204,25,43.25,57.4998
10020105302103A,63,2020,20,51,20,15811.65,18186
10020105302103A,66,2023,55,330,56,36.4165,47.75
10020105302103A,67,2024,45,612,46,37.7498,45.4165
10020105302103A,68,2025,30,516,30,42.8333,54.9998
10020105302501A,63,2020,10,198,10,16210.4,16945.75
10020105302501A,64,2021,5,108,10,15649.99,18005.05
10020105302501A,65,2022,42,184,42,27.9715,50.4392
10020105302501A,66,2023,20,151,20,34.0331,41.2999
10020105302501A,67,2024,10,428,10,39.0998,44.6664
10020105302501A,68,2025,5,404,5,50.8,55.8999
10020105302501B,63,2020,10,92,10,15504.75,17459.25
10020105302501B,64,2021,5,55,16,12284.34,15386.64
10020105302501B,65,2022,50,36,4,32.1726,37.1451
10020105302501B,66,2023,50,25,9,17.9831,34.6999
10020105302501B,67,2024,30,293,30,31.5998,35.9998
10020105302501B,68,2025,10,237,10,42.6998,47.1999
10020105302701B,63,2020,10,56,10,14349.95,16469.3
10020105302701B,64,2021,5,59,15,12125.94,16052.89
10020105302701B,65,2022,36,31,5,30.4303,34.1785
10020105302701B,66,2023,40,50,27,16.9665,41.6331
10020105302701B,67,2024,45,302,45,29.6,41.7332
10020105302701B,68,2025,47,275,48,34.7498,45.4998
10020105302801A,63,2020,20,82,20,15246.5,19558.9
10020105302801A,64,2021,20,319,23,15996.8,18205.94
10020105302801A,65,2022,40,220,40,30.752,47.5333
10020105302801A,66,2023,35,233,35,32.8664,42.4998
10020105302801A,67,2024,45,1068,45,38.9165,54.2498
10020105302801A,68,2025,35,553,35,44.6665,56.8333
10020105302801D,68,2025,20,53,20,27.2498,45.4165
10020105303201A,63,2020,5,58,5,20136.9,20907.25
10020105303201A,64,2021,25,102,28,4895.888889,6516.666667
10020105303201A,65,2022,30,212,30,39.5417,60.8
10020105303201A,66,2023,25,399,25,45.2498,69.6665
10020105303201A,67,2024,25,560,25,45.6665,60.25
10020105303201A,68,2025,25,432,25,48.1665,58.75
10020105303201G,64,2021,35,14,3,3816.666667,5319.444444
10020105303201G,65,2022,28,25,7,30.1392,40.5137
10020105303201G,66,2023,25,45,24,17.9165,53.4998
10020105303201G,67,2024,25,158,25,29.5,54.0833
10020105303201G,68,2025,15,142,15,35.1665,48.75
10020105303402A,68,2025,8,462,8,54.5164,62.2666
10020105303501A,63,2020,10,36,10,17938.25,21175.75
10020105303501A,64,2021,10,308,12,17836.5,19919.45
10020105303501A,65,2022,60,502,60,37.4463,53.1417
10020105303501A,66,2023,50,618,50,43.9998,66.1665
10020105303501A,67,2024,30,583,30,43.9,55.6165
10020105303501A,68,2025,25,674,25,51.261,67.6052
10020105303501B,63,2020,5,45,5,16929.75,19602.4
10020105303501B,64,2021,10,86,21,11105.39,17531.65
10020105303501B,65,2022,55,170,33,29.0137,42.5686
10020105303501B,66,2023,45,198,45,32.6665,43.3333
10020105303501B,67,2024,40,462,40,34.2331,41.2665
10020105303501B,68,2025,25,584,25,42.5443,52.1554
10020105303501D,63,2020,5,21,5,12736.25,16788
10020105303501D,64,2021,5,58,9,12379.5,15865.55
10020105303501D,65,2022,20,32,4,32.5463,37.8539
10020105303501D,66,2023,15,28,7,28.1665,46.2498
10020105303501D,67,2024,20,91,20,28.1665,48.8333
10020105303501D,68,2025,15,176,15,37.4998,50.5
10020105620202B,66,2023,30,146,30,36.7417,57.6874
10020105620202B,67,2024,28,658,28,47.0581,69.9998
10020105620202B,68,2025,20,364,20,50.1249,61.8373
10020106700301A,63,2020,10,32,10,15001.5,18614
10020106700301A,64,2021,5,12,2,16702,17325.5
10020106700301A,65,2022,20,238,20,43.9392,55.3362
10020106700301A,66,2023,19,199,19,65.9281,74.6182
10020106700301A,67,2024,25,989,25,59.8415,64.4248
10020106700301A,68,2025,6,99,6,63.24,67.7399
10020106702801A,63,2020,25,167,25,14486,18495.5
10020106702801A,64,2021,25,355,27,15619.34,19982.94
10020106702801A,65,2022,35,128,35,32.3774,55.0196
10020106702801A,66,2023,29,922,29,66.1555,75.222
10020106702801A,67,2024,12,980,12,69.111,81.083
10020106702801A,68,2025,24,852,24,66.083,74.1828
10020106702802A,63,2020,26,37,26,8312,18970
10020106702802A,64,2021,10,189,17,15958.74,19217
10020106702802A,65,2022,20,57,20,40.0299,56.4932
10020106702802A,66,2023,16,362,16,67.9638,72.5164
10020106702802A,67,2024,16,596,16,67.7915,78.0416
10020106702802A,68,2025,17,788,17,68.4305,73.236
10020107611101A,63,2020,60,183,60,18111.9,20394.9
10020107611101A,64,2021,65,1192,89,18685.8,21142.74
10020107611101A,65,2022,100,526,100,47.9845,57.55
10020107611101A,66,2023,54,990,54,45.6875,55.3958
10020107611101A,67,2024,69,2170,69,54.8,64.0332
10020107611101A,68,2025,60,905,60,57.6332,67.3
10020107611101B,63,2020,100,172,81,14470.5,19054.5
10020107611101B,64,2021,140,409,149,13729.8,18651.3
10020107611101B,65,2022,180,126,16,43.9309,53.3095
10020107611101B,66,2023,157,242,150,17.875,47.3333
10020107611101B,67,2024,154,2166,155,46.6,54.6332
10020107611101B,68,2025,143,890,146,50.3,58
10020107611101D,64,2021,15,39,9,15677.34,19865.04
10020107611101D,65,2022,15,79,15,31.1667,45.1667
10020107611101D,66,2023,18,141,18,43.333,53.833
10020107611101D,67,2024,18,318,19,49.6665,56.6665
10020107611101D,68,2025,25,288,25,59.4165,69.4375
10020107611102A,63,2020,20,130,20,16375.5,18987.4
10020107611102A,65,2022,95,1167,95,43.8632,52.4
10020107611102A,66,2023,85,293,85,39.3083,53.2708
10020107611102A,67,2024,70,1946,70,46.2916,51.5832
10020107611102A,68,2025,60,698,61,47.4165,55.0416
10020107611102B,63,2020,80,560,80,14109,17326.5
10020107611102B,65,2022,100,384,100,33.3926,45.4544
10020107611102B,66,2023,100,147,64,17.5208,44.1041
10020107611102B,67,2024,70,1007,70,39.3333,50.2083
10020107611102B,68,2025,50,741,50,57.3333,70.3332
10020107611103A,63,2020,25,185,25,16515.6,19062
10020107611103A,64,2021,15,336,18,16758.54,18040.5
10020107611103A,65,2022,110,2100,111,45.747,58.2206
10020107611103A,66,2023,60,711,60,61.2082,83.3416
10020107611103A,67,2024,70,1034,70,44.4443,52.7915
10020107611103A,68,2025,40,735,40,65.8332,76.0332
10020107611103B,63,2020,80,721,80,14674.5,17460
10020107611103B,64,2021,25,254,28,13754.1,15908.7
10020107611103B,65,2022,200,729,200,34.8,47.4059
10020107611103B,66,2023,100,316,100,42.3665,70.3415
10020107611103B,67,2024,140,899,140,35.6665,49
10020107611103B,68,2025,60,695,60,54.1166,65.45
10020107611104E,65,2022,30,91,30,24.1667,51.1667
10020107611104E,66,2023,30,120,30,33.5,53.333
10020107611104E,67,2024,50,272,50,40.5,51.833
10020107611104E,68,2025,50,178,50,47.8125,63.3125
10020108113101A,63,2020,10,202,10,17787.8,20528.1
10020108113101A,64,2021,6,385,6,18695.9,19611.2
10020108113101A,65,2022,11,536,11,55.6127,61.9108
10020108113101A,66,2023,11,627,11,59.9766,62.7694
10020108113101A,67,2024,11,424,11,47,53.4041
10020108113101A,68,2025,10,369,10,57.2653,59.768
10020108113101B,63,2020,28,202,28,15727,17577
10020108113101B,64,2021,16,175,17,16520.5,19415.5
10020108113101B,65,2022,30,230,30,47.4362,56
10020108113101B,66,2023,24,231,24,51.4182,60.5188
10020108113101B,67,2024,24,156,24,41.1041,49.7125
10020108113101B,68,2025,21,268,21,46.3055,54.868
10020108901001A,63,2020,9,44,9,15433.5,19150.5
10020108901001A,64,2021,4,120,4,18891.3,20357.4
10020108901001A,65,2022,18,2103,18,53.3235,61.6118
10020108901001A,66,2023,8,313,8,61.4949,64.1866
10020108901001A,67,2024,7,2267,7,69.0652,72.9318
10020108901001A,68,2025,2,140,2,65.8152,69.8858
10020108901001B,63,2020,15,33,15,14512.5,18055.8
10020108901001B,64,2021,7,54,8,16256.94,18012.54
10020108901001B,65,2022,34,497,34,47.5412,59.4
10020108901001B,66,2023,12,771,12,66.0249,72.7581
10020108901001B,67,2024,8,234,8,52.9233,55.9902
10020108901001B,68,2025,3,70,3,59.1429,60.6902
10020108901401A,63,2020,5,18,5,17077.5,17923.5
10020108901401A,64,2021,1,17,1,17261.64,17261.64
10020108901401A,65,2022,40,688,40,50.3529,61.2706
10020108901401A,66,2023,20,253,20,58.75,65.911
10020108901401A,67,2024,20,163,20,49.979,58.9513
10020108901401A,68,2025,15,256,15,56.0625,65.9165
10020108902801B,63,2020,1,1,1,13251,13251
10020108902801B,64,2021,5,15,7,13465.5,17683.5
10020108902801B,65,2022,7,220,7,57.8412,64.0882
10020108902801B,66,2023,11,33,11,53.9749,58.6664
10020108902801B,67,2024,15,285,15,45.8206,49.7483
10020108902801B,68,2025,2,27,2,53.0666,53.9375
10020108903001A,63,2020,35,266,23,15135,17904
10020108903001A,64,2021,32,27,7,14793.54,16080.6
10020108903001A,65,2022,43,187,43,37.5735,50.35
10020108903001A,66,2023,40,81,40,36.4664,46.0914
10020108903001A,67,2024,36,290,36,38.8499,47.6498
10020108903001A,68,2025,32,471,32,53.1624,63.3496
10020108903001B,63,2020,90,478,90,13185,16101.6
10020108903001B,64,2021,70,157,44,10477.5,16250.94
10020108903001B,65,2022,100,89,44,24.6735,43.9294
10020108903001B,66,2023,120,107,50,18.1665,45.025
10020108903001B,67,2024,100,321,100,29.2108,40.6332
10020108903001B,68,2025,100,928,100,41.3776,58.0888
10020108903102A,66,2023,10,335,10,60.2332,65.795
10020108903102A,67,2024,14,261,14,57.07,64.27
10020108903102A,68,2025,16,514,16,62.1748,66.1333
10020108903102B,66,2023,42,104,42,45.4782,58.0514
10020108903102B,67,2024,39,294,39,47.36,54.1149
10020108903102B,68,2025,33,584,33,51.5582,60.9666
10020108903201A,63,2020,1,18,1,17376,17376
10020108903201A,64,2021,1,9,2,16651.5,16651.5
10020108903201A,65,2022,10,273,10,55.9265,66.4301
10020108903201A,66,2023,7,454,7,68.2382,73.135
10020108903201A,67,2024,9,338,9,62.4698,69.2466
10020108903201A,68,2025,5,309,5,64.4499,72.2915
10020108903201B,63,2020,4,4,2,11281.8,15974.4
10020108903201B,64,2021,1,4,1,15714.9,15714.9
10020108903201B,65,2022,31,60,25,27.8581,51.7184
10020108903201B,66,2023,33,118,33,50.3164,61.6381
10020108903201B,67,2024,27,183,27,47.5133,58.8898
10020108903201B,68,2025,31,594,31,53.1832,63.3081
10020108903501A,63,2020,15,74,15,16540.5,17964
10020108903501A,64,2021,10,1607,13,20591.54,22404.04
10020108903501A,65,2022,30,1472,30,59.8794,76.8618
10020108903501A,66,2023,39,3419,39,69.8608,75.2552
10020108903501A,67,2024,30,1189,30,59.486,72.444
10020108903501A,68,2025,33,998,33,62.1805,67.2915
10020108903501B,63,2020,60,220,60,14271.3,16477.2
10020108903501B,64,2021,20,661,26,17751.8,19761.4
10020108903501B,65,2022,70,303,70,41.5823,59.788
10020108903501B,66,2023,74,1185,74,61.7194,72.322
10020108903501B,67,2024,62,451,62,50.125,62.1665
10020108903501B,68,2025,60,856,60,54.7775,61.069
10020109140101A,64,2021,13,1045,13,21548.54,22198.2
10020109140101A,65,2022,23,3820,23,61.8353,66.938
10020109140101A,66,2023,11,1873,11,62.1315,68.1565
10020109140101A,67,2024,22,2348,22,61.77,69.3082
10020109140101A,68,2025,13,1456,13,67.7033,70.7398
10020110501101E,63,2020,15,0,0,,
10020110501101E,64,2021,10,10,1,16225.64,16225.64
10020110501101E,65,2022,5,9,2,32.675,32.675
10020110501101E,66,2023,10,2,0,0,0
10020110501101E,67,2024,10,5,3,37.2082,47.5831
10020110501102A,63,2020,35,63,35,12088,15665
10020110501102A,64,2021,30,174,56,8886,17889.5
10020110501102A,65,2022,70,89,31,18.7971,43.1932
10020110501102A,66,2023,50,118,48,31.1679,50.5233
10020110501102A,67,2024,50,223,50,34.4525,45.872
10020110501102A,68,2025,60,299,60,37.1025,50.6025
10020110501103A,63,2020,60,107,52,8126.7,13897.5
10020110501103A,64,2021,30,143,43,8390.34,16233
10020110501103A,65,2022,70,72,17,29.4912,52.2853
10020110501103A,66,2023,50,89,41,32.8248,54.3582
10020110501103A,67,2024,55,149,55,32.3165,43.3635
10020110501103A,68,2025,50,267,50,35.411,47.019
10020110501104A,63,2020,50,117,50,11689.5,15840.5
10020110501104A,64,2021,30,217,58,6414.34,16222.4
10020110501104A,65,2022,70,126,37,19.2804,42.8137
10020110501104A,66,2023,30,62,20,26.4844,40.5387
10020110501104A,67,2024,30,296,30,36.4402,44.9902
10020110501104A,68,2025,23,194,23,46.2816,57.2288
10020110501105A,63,2020,10,26,10,13403.8,17168.5
10020110501105A,64,2021,25,120,51,9205.94,19568.1
10020110501105A,65,2022,80,180,78,24.7358,56.3848
10020110501105A,66,2023,60,72,33,27.9715,54.8499
10020110501105A,67,2024,50,257,50,41.0415,52.847
10020110501105A,68,2025,35,122,35,42.0552,55.0664
10020110501106A,63,2020,15,112,15,16905.5,18784
10020110501106A,64,2021,5,548,20,17835.2,19005.94
10020110501106A,65,2022,15,1033,15,56.5441,68.1853
10020110501106A,66,2023,8,466,8,71.3832,73.9944
10020110501106A,67,2024,15,380,15,59.7775,65.708
10020110501106A,68,2025,4,402,4,67.8605,69.6105
10020110501106B,63,2020,20,50,20,13871.1,16613
10020110501106B,64,2021,10,129,49,13386.74,17076.9
10020110501106B,65,2022,45,160,45,40.3912,56.6206
10020110501106B,66,2023,25,34,18,29.3332,56.4688
10020110501106B,67,2024,30,108,30,45.9662,63.3494
10020110501106B,68,2025,15,286,15,58.3662,65.616
10020111620103E,66,2023,30,65,30,32.1998,65.3998
10020111620103E,67,2024,10,175,10,54.8332,69.7664
10020111620103E,68,2025,35,134,35,51.6,73.9996
10020111620105A,66,2023,25,367,25,56,72.6665
10020111620105A,67,2024,15,1225,15,67.6248,87.95
10020111620105A,68,2025,17,532,17,72.3998,87.1249
10020111800201A,65,2022,25,112,25,53.1838,75.5417
10020111800201A,66,2023,22,12,7,39.979,64.5833
10020111800201A,67,2024,5,8,5,50,54
10020111800201A,68,2025,1,16,1,54,54
10020111901501A,63,2020,35,178,35,18010,21525
10020111901501A,64,2021,40,262,42,5683.333333,8500
10020111901501A,65,2022,30,1128,30,59.1118,67.0794
10020111901501A,66,2023,42,872,42,65.7665,73.9665
10020111901501A,67,2024,27,491,27,58.1,64.0915
10020111901501A,68,2025,39,765,39,59.922,70.122
10020111901701A,65,2022,40,270,40,71.1441,86.2294
10020111901701A,66,2023,30,723,30,67.8552,85.0444
10020111901701A,67,2024,30,534,30,59.7832,82.2166
10020111901701A,68,2025,30,288,30,58.1166,80.9498
10020111901701B,67,2024,60,257,60,51.0831,65.6345
10020111901701B,68,2025,40,207,40,51.0748,63.2164
10020111901801A,63,2020,10,224,10,20535,22687.5
10020111901801A,64,2021,7,343,8,21557.1,22290
10020111901801A,65,2022,20,404,20,73.4618,83.388
10020111901801A,66,2023,21,1190,21,70.8664,78.2052
10020111901801A,67,2024,8,868,8,70.5,82.3554
10020111901801A,68,2025,12,550,12,73.3444,81.4888
10020111901802B,63,2020,40,341,40,19803,22548
10020111901802B,64,2021,42,608,44,20195.1,24168.7
10020111901802B,65,2022,82,636,82,75.0465,91.0833
10020111901802B,66,2023,60,1131,60,74.7666,84.0666
10020111901802B,67,2024,70,726,70,64.583,73.888
10020111901802B,68,2025,90,1434,90,68.333,79.7957
10020111901901A,63,2020,5,153,5,22276.5,23425.5
10020111901901A,64,2021,5,102,5,21883.14,23293.8
10020111901901A,65,2022,25,282,25,76.8618,85.75
10020111901901A,66,2023,25,817,25,75.3331,85.0248
10020111901901A,67,2024,23,802,23,76.9998,86.1944
10020111901901A,68,2025,17,600,17,80.5944,90.6332
10020111901901B,64,2021,10,43,6,14838,18152.94
10020111901901B,65,2022,65,122,58,60.1559,77.1823
10020111901901B,66,2023,35,324,35,64.775,76.0081
10020111901901B,67,2024,38,346,38,63.0623,77
10020111901901B,68,2025,21,318,21,68.1248,77.8263
10020111902001A,63,2020,40,206,40,18889,21252.7
10020111902001A,64,2021,29,611,32,20085.3,23422.64
10020111902001A,65,2022,39,1140,39,66.3735,74.75
10020111902001A,66,2023,35,1199,35,68.1662,78.7498
10020111902001A,67,2024,36,1738,36,66.8332,72.5166
10020111902001A,68,2025,30,1114,30,66.8832,73.3776
10020111902403A,68,2025,20,436,20,62.1875,72.375
10020111902501A,63,2020,12,299,12,23906.3,25157.8
10020111902501A,64,2021,19,997,21,24144.54,25558.5
10020111902501A,65,2022,35,2582,35,65.2515,71.375
10020111902501A,66,2023,40,6501,40,81.175,87.8749
10020111902501A,67,2024,42,4060,42,80.8499,88.2
10020111902501A,68,2025,40,2653,40,82.525,88.1
10020111902501B,63,2020,40,224,40,21908,23715
10020111902501B,64,2021,42,349,45,20854.04,24076.5
10020111902501B,65,2022,90,661,90,57.1206,65.3279
10020111902501B,66,2023,90,1920,90,72.6998,82.2498
10020111902501B,67,2024,90,1319,90,71.5498,79.5748
10020111902501B,68,2025,95,1112,95,74.0249,81.7749
10020111903301A,63,2020,12,67,12,22121,24088.3855
10020111903301A,64,2021,10,115,12,21678.64,22862.04
10020111903301A,65,2022,35,23,5,61.4493,67.7882
10020111903301A,66,2023,32,487,32,66.472,73.3263
10020111903301A,67,2024,25,282,25,64.4332,71.0331
10020111903301A,68,2025,18,794,18,81.6248,87.4164
10020111903801A,63,2020,12,31,0,,
10020111903801A,64,2021,36,463,0,0,0
10020111903801A,65,2022,40,938,40,59.1382,78.3029
10020111903801A,66,2023,38,9244,38,75.1664,81.6888
10020111903801A,67,2024,42,5211,42,66.1733,73.0345
10020111903801A,68,2025,40,3959,40,67.1805,71.5623
10020112610101A,63,2020,35,189,35,18721.2,21367.2
10020112610101A,64,2021,35,1214,44,19207.2,20406.6
10020112610101A,65,2022,70,1985,70,56.925,69.6765
10020112610101A,66,2023,68,4472,68,73.0388,82.772
10020112610101A,67,2024,45,2337,45,66.3832,74.1638
10020112610101A,68,2025,29,2077,29,74.4888,82.8858
10020112610201A,63,2020,50,278,50,17778,20247
10020112610201A,64,2021,30,1182,42,18613.74,20879.4
10020112610201A,65,2022,70,1549,70,54.647,68.45
10020112610201A,66,2023,62,4328,62,69.4888,78.8
10020112610201A,67,2024,51,2810,51,63.7164,70.2026
10020112610201A,68,2025,60,2269,60,70.525,77.7194
10020112610202A,63,2020,25,111,25,17476.7,20157
10020112610202A,64,2021,15,519,16,18116.94,19054.8
10020112610202A,65,2022,47,738,47,52.55,78.35
10020112610202A,66,2023,26,1723,26,68.7388,78.3052
10020112610202A,67,2024,30,1172,30,63.0664,74.3414
10020112610202A,68,2025,39,982,40,68.9026,77.3332
10020112610501A,63,2020,30,302,30,20688,23459
10020112610501A,64,2021,60,1824,113,20422.2,22519.2
10020112610501A,65,2022,155,517,155,47.0059,73.45
10020112610501A,66,2023,85,7556,85,76.3,83.825
10020112610501A,67,2024,75,4726,75,71.5414,78.3444
10020112610501A,68,2025,95,3891,95,77.9026,83.8388
10020112610501B,63,2020,50,268,50,19243.4,21912
10020112610501B,64,2021,80,718,112,18869.94,20414.34
10020112610501B,65,2022,160,516,160,47.5059,69.1529
10020112610501B,66,2023,140,2399,140,68.4526,76.0082
10020112610501B,67,2024,130,2449,130,66.0138,71.4664
10020112610501B,68,2025,115,1938,115,73.5052,77.9
10020112610601A,63,2020,20,278,20,18888.7,20251.5
10020112610601A,64,2021,20,974,26,19039.8,20062.44
10020112610601A,65,2022,70,1306,70,55.5706,69.35
10020112610601A,66,2023,9,3726,9,75.9444,82.3388
10020112610601A,67,2024,17,2264,17,65.65,71.3388
10020112610601A,68,2025,5,1982,5,75.8332,77.0526
10020113112901A,63,2020,65,179,65,16374.5,20919
10020113112901A,64,2021,25,951,25,18960.14,20433.64
10020113112901A,65,2022,40,1485,40,48.5809,60.975
10020113112901A,66,2023,70,2976,70,57.7154,68.9466
10020113112901A,67,2024,50,1084,50,50.225,58.5665
10020113112901A,68,2025,40,1022,40,55.5903,63.0845
10020113112901B,63,2020,85,337,85,13624.2,18586
10020113112901B,64,2021,60,424,72,15083.8,17977.5
10020113112901B,65,2022,70,356,70,39.9309,49.9868
10020113112901B,66,2023,75,718,75,50.0732,60.0222
10020113112901B,67,2024,70,372,70,41.868,51.825
10020113112901B,68,2025,70,670,70,46.447,54.9513
10020113112902A,63,2020,40,179,40,15997,19005.5
10020113112902A,64,2021,30,711,36,17711.94,20102.1
10020113112902A,65,2022,52,821,52,45.9123,55.6833
10020113112902A,66,2023,45,510,45,45.5833,54.0805
10020113112902A,67,2024,50,1001,50,47.6458,54.8
10020113112902A,68,2025,37,823,37,52.3778,64.7083
10020113112902B,63,2020,65,218,65,12971,16749.5
10020113112902B,64,2021,5,208,5,15966.94,16615.64
10020113112902B,65,2022,48,157,48,35.7461,45.6485
10020113112902B,66,2023,48,157,48,36.95,48.7055
10020113112902B,67,2024,50,530,50,40.5833,47.936
10020113112902B,68,2025,56,510,56,44.9443,52.111
10020114400201A,63,2020,3,10,3,16503,19872
10020114400201A,64,2021,5,57,14,13337.8,17816
10020114400201A,65,2022,22,151,22,34.423,47.1873
10020114400201A,66,2023,14,238,14,49.25,65.8
10020114400201A,67,2024,19,187,19,41.95,52
10020114400201A,68,2025,8,275,8,49.5,52.35
10020114400301A,63,2020,28,79,28,17044.2,19187.5
10020114400301A,64,2021,5,139,6,17962.3,18368.1
10020114400301A,65,2022,31,308,31,40.8762,50.2917
10020114400301A,66,2023,26,399,26,51.7,56.85
10020114400301A,67,2024,30,300,30,42.5,49.5
10020114400301A,68,2025,23,367,24,46.7,51.25
10020114400501A,63,2020,17,67,17,18410.2,21773.7
10020114400501A,64,2021,5,322,27,18483.04,20820.54
10020114400501A,65,2022,30,100,29,29.375,53.9368
10020114400501A,66,2023,15,1268,15,55.05,60.15
10020114400501A,67,2024,15,679,15,50.15,56.7
10020114400501A,68,2025,12,607,12,52.55,59.15
10020114400502A,63,2020,28,41,23,14374,18685.6
10020114400502A,64,2021,8,123,17,16062,18344.04
10020114400502A,65,2022,29,337,29,38.961,53.1858
10020114400502A,66,2023,20,406,20,50.6,56.5
10020114400502A,67,2024,12,292,12,45.4,49.9
10020114400502A,68,2025,17,203,17,43.25,47.525
10020115210101A,63,2020,35,151,35,13040,16211.5
10020115210101A,64,2021,50,501,58,13704.5,17504.44
10020115210101A,65,2022,50,273,50,23.4167,35.1176
10020115210101A,66,2023,60,35,9,29.5525,42.9749
10020115210101A,67,2024,65,182,65,20.6766,37.8654
10020115210101A,68,2025,50,1024,50,49.0415,61.1525
10020115210102A,65,2022,110,69,16,13.7,30.7127
10020115210102A,66,2023,80,107,45,28.8591,45.9675
10020115210102A,67,2024,85,118,50,16.8932,34
10020115210102A,68,2025,70,1193,70,48.916,62.694
10020116210103A,66,2023,30,36,17,28.694,52.2495
10020116210103A,67,2024,30,130,30,34.8744,46.7564
10020116210103A,68,2025,20,165,20,40.272,52.47
10020117302102A,63,2020,10,67,10,15298.5,18327.75
10020117302102A,66,2023,14,172,14,44.8666,55.3332
10020117302102A,67,2024,35,214,35,36.1996,55.5998
10020117302102A,68,2025,10,300,10,46.7332,58.0664
10020136111701A,68,2025,16,3044,16,52.8114,57.9265
10020202500601A,63,2020,80,57,20,4637.5,12109.5
10020202500601A,64,2021,10,90,10,11440.8,13423.14
10020202500601A,65,2022,100,125,31,24.8235,52.647
10020202500601A,66,2023,80,106,31,32.3249,56.0698
10020202500601A,67,2024,100,142,38,22.6249,36.4165
10020202500601A,68,2025,100,175,64,21.9333,38.1416
10020215210102A,65,2022,60,14,1,22.75,22.75
10020215210102A,66,2023,70,25,9,28.7799,42.659
10020215210102A,67,2024,60,20,5,21.64,36.8
10020215210102A,68,2025,70,163,64,26.694,49.569
10020219500102A,63,2020,20,19,14,7304,13185
10020219500102A,66,2023,35,24,11,33.4414,55.1998
10020219500102A,67,2024,18,57,18,22.8329,57.5828
10020219500102A,68,2025,12,26,10,15.225,32.925
10020219500201A,63,2020,60,109,39,6128,15228.5
10020219500201A,64,2021,40,143,23,8532.84,16037.14
10020219500201A,65,2022,120,130,36,24.4735,49.688
10020219500201A,66,2023,122,29,3,33.6748,45.2148
10020219500201A,67,2024,37,133,37,39.2164,63.1912
10020219500201A,68,2025,19,17,5,29.3,46.5932
10020219500401A,63,2020,20,7,3,10208,11710.2
10020219500401A,64,2021,15,28,1,14948.94,14948.94
10020219500401A,65,2022,25,60,9,26.3206,48.797
10020219500401A,66,2023,15,35,10,41.8414,58.7162
10020219500401A,67,2024,10,71,10,46.5331,54.9912
10020219500401A,68,2025,5,14,2,24.5464,30.62
10020219501201A,63,2020,10,51,10,13559,16807.7
10020219501201A,64,2021,18,135,19,13235.34,15307.74
10020219501201A,65,2022,25,353,25,46.8892,63.0618
10020219501201A,66,2023,7,216,7,65.35,71.7082
10020219501201A,67,2024,8,187,8,56.458,73.1748
10020219501201A,68,2025,5,19,5,31.6132,38.6432
10020220300501A,63,2020,15,114,15,15766.5,18022.6
10020220300501A,64,2021,18,238,19,16225.84,18879.39
10020220300501A,65,2022,30,413,30,36.0471,55.751
10020220300501A,66,2023,35,459,35,46.8442,56.372
10020220300501A,67,2024,32,447,32,44.4608,71.0552
10020220300501A,68,2025,30,384,30,45.7496,58.0666
10020220300701A,63,2020,45,2,0,,
10020220300701A,64,2021,5,102,27,13186.5,16125.5
10020220300701A,65,2022,23,125,23,28.4588,36.9843
10020220300701A,66,2023,17,118,17,36.5,44.083
10020220300701A,67,2024,27,251,27,34.1887,39.9554
10020220300701A,68,2025,25,358,25,38.2774,44.8498
10020220300701B,67,2024,37,41,18,25.7665,38.7554
10020220300701B,68,2025,25,226,25,33.9222,40.0832
10020220300702A,66,2023,19,58,19,45.2108,58.1608
10020220300702A,67,2024,35,132,35,36.4054,54.4274
10020220300702A,68,2025,27,306,27,49.75,58.0832
10020220302102A,63,2020,31,15,7,12996.75,15833
10020220302102A,64,2021,5,37,5,13670.14,15011.04
10020220302102A,65,2022,20,34,7,29.7333,45.2833
10020220302102A,66,2023,12,131,12,37.2054,45.233
10020220302102A,67,2024,23,624,23,50.2328,65.633
