program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10010123211001A,63,2020,35,179,35,17383,20169.5
10010123211001A,64,2021,66,785,78,17985.34,21133.1
10010123211001A,65,2022,90,944,90,45.8235,60.3745
10010123211001A,66,2023,75,1408,75,61.0664,80.494
10010123211001A,67,2024,71,861,71,54.5444,71.9276
10010123211001A,68,2025,38,169,38,35.871,52.1666
10010123212301A,63,2020,15,48,15,16295.9,18208.5
10010123212301A,64,2021,27,181,31,16758,20551.14
10010123212301A,65,2022,34,116,34,41.5117,55.4529
10010123212301A,66,2023,19,293,19,59.8996,68.9276
10010123212301A,67,2024,19,240,19,53.0882,62.4444
10010123212301A,68,2025,21,369,21,59.9666,76.1166
10010123212501A,63,2020,45,197,45,14871,17146
10010123212501A,64,2021,35,228,46,15444.5,17105.74
10010123212501A,65,2022,53,79,22,34.1,47.7019
10010123212501A,66,2023,53,241,53,47.644,60.9938
10010123212501A,67,2024,54,470,54,45.255,55.0722
10010123212501A,68,2025,50,231,50,37.45,51.011
10010123212601A,63,2020,36,76,36,15121.5,17268
10010123212601A,64,2021,35,356,42,16577.2,19365.8
10010123212601A,65,2022,54,146,53,33.6863,53.6039
10010123212601A,66,2023,50,358,50,54.044,71.2218
10010123212601A,67,2024,53,326,53,47.211,61.8552
10010123212601A,68,2025,50,308,50,45.85,63.961
10010123212701A,63,2020,29,79,29,15735,18694.5
10010123212701A,64,2021,41,265,53,16406.44,22781.5
10010123212701A,65,2022,49,160,49,33.2569,71.0833
10010123212701A,66,2023,36,481,36,60.0774,76.2108
10010123212701A,67,2024,40,367,40,52.6222,72.366
10010123212701A,68,2025,50,355,50,54.0776,73.844
10010123212801A,63,2020,84,177,84,13816.5,17399.5
10010123212801A,64,2021,62,511,75,15585.94,18410.4
10010123212801A,65,2022,97,158,43,31.5294,53.5569
10010123212801A,66,2023,95,612,95,52.6496,73.0216
10010123212801A,67,2024,95,749,95,48.5054,61.994
10010123212801A,68,2025,36,85,36,32.511,44.3276
10010123213001A,63,2020,19,52,19,15826.5,18275.5
10010123213001A,64,2021,27,279,29,17042.1,19770.64
10010123213001A,65,2022,39,122,39,35.8255,55.9961
10010123213001A,66,2023,28,626,28,59.555,77.0222
10010123213001A,67,2024,23,342,23,52.6774,66.805
10010123213001A,68,2025,33,127,33,30.9232,52.8632
10010123213101A,63,2020,68,171,68,15150,17586.4
10010123213101A,64,2021,70,526,84,16157.74,19759.84
10010123213101A,65,2022,101,272,101,33.2569,56.5253
10010123213101A,66,2023,74,785,74,55.794,68.2938
10010123213101A,67,2024,72,578,73,49.2552,61.6774
10010123213101A,68,2025,82,495,82,51.4703,58.5786
10010123213201A,63,2020,13,65,13,16442.4,19959
10010123213201A,64,2021,14,201,15,17364.3,18789.74
10010123213201A,65,2022,22,106,22,39.4333,58.5313
10010123213201A,66,2023,14,429,14,58.8216,70.855
10010123213201A,67,2024,20,265,20,50.4438,62.15
10010123213201A,68,2025,6,548,6,61.111,66.4164
10010123213501A,64,2021,49,985,52,19366.84,23513.1
10010123213501A,65,2022,39,1068,39,53.8471,75.5627
10010123213501A,66,2023,24,2695,24,74.1276,81.194
10010123213501A,67,2024,25,1015,25,66.8944,74.6832
10010123213501A,68,2025,21,684,21,67.2497,76.7972
10010124903201A,63,2020,21,8,0,,
10010124903201A,64,2021,19,10,0,0,0
10010124903201A,65,2022,66,438,3,77.0196,78.2167
10010124903201A,66,2023,66,3542,39,74.8082,82.9138
10010124903201A,67,2024,66,2378,42,73.1082,80.9916
10010124903201A,68,2025,66,8,0,0,0
10010125400201A,63,2020,20,94,20,19952.5,21535.5
10010125400201A,64,2021,5,163,6,20386.34,22137.5
10010125400201A,65,2022,22,170,22,41.6667,59.1167
10010125400201A,66,2023,15,296,15,56.95,64.9
10010125400201A,67,2024,10,152,10,53.1,69.5
10010125400201A,68,2025,5,134,5,58.25,59.1
10010125400301A,63,2020,8,70,8,20521.5,23203.5
10010125400301A,64,2021,10,195,11,20457.84,22526.3
10010125400301A,65,2022,25,177,25,43,68.5
10010125400301A,66,2023,15,285,15,56.9,65.45
10010125400301A,67,2024,16,192,16,51.85,58.45
10010125400301A,68,2025,10,140,10,54.2,58.6
10010125400401A,63,2020,11,101,11,19320.2,20295.7
10010125400401A,64,2021,8,139,16,18762,20677.9
10010125400401A,65,2022,25,154,25,39.2,55.0333
10010125400401A,66,2023,20,282,20,54.15,82.8
10010125400401A,67,2024,18,175,18,49.55,56.75
10010125400401A,68,2025,9,172,9,53.85,57.1
10010125400501A,63,2020,10,77,10,21403.5,23673
10010125400501A,64,2021,10,287,11,21600,24133.4
10010125400501A,65,2022,10,236,10,55.5,72.9167
10010125400501A,66,2023,10,523,10,66.2,78
10010125400501A,67,2024,10,340,10,61.2,80.25
10010125400501A,68,2025,11,260,11,61.15,74.25
10010125400701A,63,2020,10,84,10,21192.9,23552.5
10010125400701A,64,2021,5,197,5,21308.8,23493.7
10010125400701A,65,2022,11,193,11,50.2,59.0667
10010125400701A,66,2023,7,355,7,63,70.25
10010125400701A,67,2024,5,242,5,58.6,71.2
10010125400701A,68,2025,5,183,5,59.5,66
10010126610501A,63,2020,10,133,10,23806.2,24836.2
10010126610501A,64,2021,10,729,11,23583.54,25671
10010126610501A,65,2022,250,1067,251,58.0039,79.5333
10010126610501A,66,2023,240,5081,240,83.1552,95.8888
10010126610501A,67,2024,240,3103,241,74.3552,95.3332
10010126610501A,68,2025,20,940,20,77.922,94.9776
10010126610801A,63,2020,15,173,15,22444.5,23775.6
10010126610801A,64,2021,15,862,19,22372.2,25891.5
10010126610801A,65,2022,250,912,250,51.2667,87.0471
10010126610801A,66,2023,240,4586,240,78.3664,92.5
10010126610801A,67,2024,240,3634,240,70,91.5332
10010126610801A,68,2025,20,867,20,67.7108,85.822
10010126610901A,63,2020,12,83,12,21603,23812
10010126610901A,64,2021,12,264,14,21342,23178.6
10010126610901A,65,2022,30,226,30,53.8255,70.8824
10010126610901A,66,2023,40,711,40,60.8055,83.611
10010126610901A,67,2024,40,873,40,54.2664,66.8108
10010126610901A,68,2025,40,563,40,59.6552,66.2888
10010127703701A,63,2020,9,40,9,19595.9,20854.5
10010127703701A,64,2021,8,68,8,17768.7,20458.8
10010127703701A,65,2022,54,152,54,45.1482,73.2387
10010127703701A,66,2023,51,265,51,52.9276,80.3722
10010127703701A,67,2024,50,349,50,55.2888,81.8276
10010127703701A,68,2025,28,72,8,69.3401,72.2513
10010128901101A,63,2020,40,68,10,22543.5,23484
10010128901101A,64,2021,40,251,11,23144.64,25865.4
10010128901101A,65,2022,95,223,18,78.6039,87.8353
10010128901101A,66,2023,70,128,24,77.5332,89.3108
10010128901101A,67,2024,70,119,21,72.5666,79.7833
10010128901101A,68,2025,79,99,19,72.1998,87.2332
10010129611101A,63,2020,14,200,14,22310.4,23971.5
10010129611101A,64,2021,25,682,29,21310.74,22709.94
10010129611101A,65,2022,140,755,140,51.9608,75.102
10010129611101A,66,2023,140,1333,140,57.6164,76.1388
10010129611101A,67,2024,140,2064,140,59.2582,77.7388
10010129611101A,68,2025,140,1447,140,62.1638,82.575
10010131140101A,64,2021,10,598,11,22014.5,23100.5
10010133130201A,63,2020,14,96,14,20850,22141.9
10010133130201A,64,2021,15,626,17,21778.6,22835.5
10010133130301A,63,2020,18,113,18,21059,22432.25
10010133130301A,64,2021,20,666,21,21806.34,23400.4
10010134901001A,63,2020,10,51,10,22542,24739.2
10010134901001A,64,2021,13,168,14,22356.84,25239.24
10010134901001A,65,2022,160,590,160,53.8471,75.1794
10010134901001A,66,2023,125,2427,125,71.8554,85.9
10010134901001A,67,2024,125,1294,125,67.55,81.5666
10010134901001A,68,2025,35,231,35,70.2722,85.361
10010137110101A,63,2020,24,129,24,19548,20559
10010137110101A,64,2021,10,485,10,20514,21432.3
10010137110101A,65,2022,70,56,14,50.3167,72.5167
10010137110101A,66,2023,60,2834,60,58.5944,71.3888
10010137110101A,67,2024,41,2156,41,62.4276,73.6608
10010137110101A,68,2025,40,851,40,63.0194,78.2332
10010137111301A,63,2020,50,298,50,19994,22867
10010137111301A,64,2021,40,1759,48,20820.24,22135.1
10010137111301A,65,2022,102,5812,102,53.325,68.9279
10010137111301A,66,2023,90,2262,90,49.3666,75.316
10010137111301A,67,2024,75,3496,75,52.4544,69.8244
