program_id,project_id,major_id,project_name_th,round_type,year,receive_student_number,min_gpax,min_total_score,only_formal,only_international,only_vocational,link
10010121300001A,68e365a0f6124a010031319a,,,admission,2026,305,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2101,,โครงการโอลิมปิกวิชาการและโครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์และเทคโนโลยีสำหรับเด็กและเยาวชน,portfolio,2026,100,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,225,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2188,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010121300001A,P2191,,โครงการจุฬาฯ-ชนบท,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2194,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,3,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2196,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,portfolio,2026,2,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,25,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300501A,68e365a0f6124a01003131ac,,,admission,2026,75,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300501A,P2102,,โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมคอมพิวเตอร์,portfolio,2026,65,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300501A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300599A,68e365a0f6124a01003131b0,,,admission,2026,90,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300599A,P2105,,โครงการรับนักเรียนผู้มีความสามารถทางวิชาการเข้าศึกษาในหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (หลักสูตร Sandbox),portfolio,2026,220,3,0,1,2,1,https://admission.chula.ac.th/admission_c1.php
10010121300599A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300601A,68e365a0f6124a01003131a2,,,admission,2026,5,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300601E,68e365a0f6124a010031314c,,,portfolio,2026,40,,,1,1,1,https://chem.eng.chula.ac.th/
10010121300601E,68e365a0f6124a0100313180,,,quota,2026,28,,,1,1,1,https://chem.eng.chula.ac.th/
10010121301101A,68e365a0f6124a01003131ae,,,admission,2026,15,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121301101A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,2,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301101A,P2107,,โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,portfolio,2026,3,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301601A,68e365a0f6124a010031319e,,,admission,2026,15,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121301601A,P2103,,โครงการรับนักเรียนผู้มีความสามารถทางวิชาการเข้าศึกษาในหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมไฟฟ้า,portfolio,2026,10,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301801E,68e365a0f6124a0100313182,,,quota,2026,25,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121301801E,P2108,,รูปแบบที่ 1,portfolio,2026,95,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121301801E,P2109,,รูปแบบที่ 2,portfolio,2026,7,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302001A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302002E,68e365a0f6124a0100313184,,,quota,2026,18,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302002E,P2108,,รูปแบบที่ 1,portfolio,2026,56,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302002E,P2109,,รูปแบบที่ 2,portfolio,2026,5,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302101A,68e365a0f6124a010031319c,,,admission,2026,25,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302501A,68e365a0f6124a01003131aa,,,admission,2026,30,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302501A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302501A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302502E,68e365a0f6124a0100313186,,,quota,2026,14,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302502E,P2108,,รูปแบบที่ 1,portfolio,2026,37,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302502E,P2109,,รูปแบบที่ 2,portfolio,2026,5,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302701A,68e365a0f6124a01003131a8,,,admission,2026,32,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302701A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302701A,P2106,,โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมสำรวจ,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302801A,68e365a0f6124a01003131a6,,,admission,2026,20,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302801A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302901E,68e365a0f6124a0100313188,,,quota,2026,14,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302901E,P2108,,รูปแบบที่ 1,portfolio,2026,45,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302901E,P2109,,รูปแบบที่ 2,portfolio,2026,5,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303001A,68e365a0f6124a01003131a4,,,admission,2026,20,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121303001A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121303201E,68e365a0f6124a010031318a,,,quota,2026,13,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303201E,P2108,,รูปแบบที่ 1,portfolio,2026,34,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303201E,P2109,,รูปแบบที่ 2,portfolio,2026,3,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303401E,68e365a0f6124a010031318c,,,quota,2026,12,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303401E,P2108,,รูปแบบที่ 1,portfolio,2026,40,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121303501A,68e365a0f6124a01003131a0,,,admission,2026,5,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2201,D,โครงการโอลิมปิกวิชาการ สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,portfolio,2026,15,3.25,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2202,,โครงการรับนักเรียนที่มีความสามารถพิเศษเข้าศึกษาในสาขาวิชาอักษรศาสตร์,portfolio,2026,55,3.5,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2203,P,โครงการรับนักเรียนที่มีความสามารถพิเศษเข้าศึกษาในสาขาวิชาเทคโนโลยีภาษาและสารสนเทศ,portfolio,2026,5,3.25,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2204,G,โครงการสู่ความเป็นเลิศด้านศิลปการละคร,portfolio,2026,5,3.5,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2205,R,โครงการรับนักเรียนที่มีความสามารถพิเศษด้านภาษารัสเซียเข้าศึกษาในสาขาวิชาภาษารัสเซีย,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2206,D,สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,admission,2026,9,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2207,E,สาขาวิชาสารสนเทศศึกษา,admission,2026,10,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2208,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาคณิตศาสตร์ประยุกต์ 2,admission,2026,20,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2209,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2210,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2211,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2212,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2213,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาจีน,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2214,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาบาลี,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2215,,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาสเปน,admission,2026,209,2.75,0,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2288,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010122904301A,P2291,D,โครงการจุฬาฯ-ชนบท,quota,2026,4,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2291,H,โครงการจุฬาฯ-ชนบท,quota,2026,4,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2294,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,4,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2298,A,โครงการส่งเสริมพัฒนาสมรรถนะนิสิตทางด้านศิลปะระดับชาติ นานาชาติ,portfolio,2026,5,3.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2298,A,โครงการส่งเสริมพัฒนาสมรรถนะนิสิตทางด้านศิลปะระดับชาติ นานาชาติ,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301A,P2299,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010122904301E,68e365a0f6124a01003131b2,,,portfolio,2026,90,,,1,1,1,https://www.arts.chula.ac.th/balac/index.php/2024/10/01/chulalongkorn-university-announcement-balac-early-admission-2025/
10010122904301E,68e365a0f6124a01003131be,,,quota,2026,43,,,1,1,1,https://www.arts.chula.ac.th/balac/index.php/2024/10/01/chulalongkorn-university-announcement-balac-early-admission-2025/
10010123210301A,68e365a1f6124a0100313296,,,admission,2026,40,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210301A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,30,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210301A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210301A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210301A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210301A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210301A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,68e365a1f6124a010031329a,,,admission,2026,97,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,68,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210401A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210401A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,30,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2307,,สาขาวิชาเคมีวิศวกรรม (รูปแบบที่ 1),admission,2026,45,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2308,,สาขาวิชาเคมีวิศวกรรม (รูปแบบที่ 2),admission,2026,45,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210402A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210402A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210403E,68e365a0f6124a01003131e0,,,portfolio,2026,90,,,1,1,1,https://bsac.chemcu.org/prospective-students/
10010123210403E,68e365a0f6124a0100313228,,,quota,2026,40,,,1,1,1,https://bsac.chemcu.org/prospective-students/
10010123210403E,P2390,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬาหลักสูตรนานาชาติ,portfolio,2026,5,,0,1,1,1,https://bsac.chemcu.org/prospective-students/
10010123210403E,P2395,,โครงการผู้มีความสามารถทางด้านกีฬาเข้าศึกษาในหลักสูตรนานาชาติ,quota,2026,3,,,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010123210501A,68e365a1f6124a01003132b8,,,admission,2026,51,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210501A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,20,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210501A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210501A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210501A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210501A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210501A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,68e365a1f6124a01003132b4,,,admission,2026,36,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,48,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210601A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210601A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,30,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2303,,สาขาวิชาชีววิทยา (รูปแบบที่ 1),admission,2026,19,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2304,,สาขาวิชาชีววิทยา (รูปแบบที่ 2),admission,2026,18,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210701A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210701A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210901A,68e365a1f6124a01003132ba,,,admission,2026,50,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210901A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123210901A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210901A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123210901A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,35,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2309,,สาขาวิชาเทคโนโลยีทางอาหาร (รูปแบบที่ 1),admission,2026,40,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2310,,สาขาวิชาเทคโนโลยีทางอาหาร (รูปแบบที่ 2),admission,2026,40,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123211001A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211001A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123211201E,68e365a0f6124a01003131e2,,,portfolio,2026,50,,,1,1,1,http://www.bbtech.sc.chula.ac.th/?page_id=85
10010123211201E,68e365a0f6124a010031322a,,,quota,2026,35,,,1,1,1,http://www.bbtech.sc.chula.ac.th/?page_id=85
10010123212101E,68e365a0f6124a01003131e4,,,portfolio,2026,50,,,1,1,1,https://www.bistech.sc.chula.ac.th/
10010123212101E,68e365a0f6124a010031322c,,,quota,2026,35,,,1,1,1,https://www.bistech.sc.chula.ac.th/
10010123212101E,P2390,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬาหลักสูตรนานาชาติ,portfolio,2026,2,,0,1,1,1,https://www.bistech.sc.chula.ac.th/
10010123212301A,68e365a1f6124a01003132ae,,,admission,2026,14,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212301A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,28,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212301A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212301A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123212301A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212301A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212301A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,68e365a1f6124a01003132a6,,,admission,2026,50,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,P2301,,โครงการรับนักเรียนวิทยาศาสตร์ด้วยวิธีพิเศษ,portfolio,2026,15,2.5,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,P2302,,โครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์สำหรับเด็กและเยาวชน,portfolio,2026,25,,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,P2388,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2.5,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010123212501A,P2391,,โครงการจุฬาฯ-ชนบท,quota,2026,20,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,P2394,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010123212501A,P2399,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
