program_id,university_slug,university_id,faculty_id,campus_id,campus_name_th,campus_name_en,program_name_th,program_name_en,program_type_id,program_type_name_th,field_id,field_name_th,field_name_en,cost,graduate_rate
10050201901001A,thammasat,005,01,02,ศูนย์รังสิต,RangsitCampus,นิติศาสตรบัณฑิต,Bachelor  of  Laws Program,A,ภาษาไทย ปกติ,10,นิติศาสตร์,Laws,"18,000 บาท ต่อภาคเรียน ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 78.81
10050202610501A,thammasat,005,02,02,ศูนย์รังสิต,RangsitCampus,บัญชีบัณฑิต,Bachelor of Accounting Program,A,ภาษาไทย ปกติ,05,การบัญชี,Accountancy,"18,000 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 95.00
10050202610801A,thammasat,005,02,02,ศูนย์รังสิต,RangsitCampus,บริหารธุรกิจบัณฑิต,"Bachelor of Business 
Administration Program",A,ภาษาไทย ปกติ,08,บริหารธุรกิจ,Business Administration,"18,000 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 95.00
10050202610801E,thammasat,005,02,02,ศูนย์รังสิต,RangsitCampus,บธ.บ.สาขาวิชาการจัดการธุรกิจแบบบูรณาการ (หลักสูตรนานาชาติ) (BBM),Bachelor of Business Management,E,นานาชาติ,08,บริหารธุรกิจ,Business Administration,"นักศึกษาสัญชาติไทย 137,500 บาท
ต่อภาคการศึกษา/นักศึกษาชาวต่างชาติ 210,000 บาท ต่อภาคการศึกษา",หลักสูตรใหม่ ยังไม่มีมีผู้สำเร็จการศึกษา
10050203903201A,thammasat,005,03,02,ศูนย์รังสิต,RangsitCampus,ร.บ.วิชาเอกสาขาการเมืองการปกครอง,Bachelor of Political Science,A,ภาษาไทย ปกติ,32,รัฐศาสตร์,Political Science,"16,300 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 90
10050203903201A,thammasat,005,03,02,ศูนย์รังสิต,RangsitCampus,ร.บ.วิชาเอกสาขาการระหว่างประเทศ,Bachelor of Political Science,A,ภาษาไทย ปกติ,32,รัฐศาสตร์,Political Science,"16,300 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 90
10050203903201A,thammasat,005,03,02,ศูนย์รังสิต,RangsitCampus,ร.บ.วิชาเอกสาขาบริหารรัฐกิจ,Bachelor of Political Science,A,ภาษาไทย ปกติ,32,รัฐศาสตร์,Political Science,"16,300 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 90
10050204611101A,thammasat,005,04,02,ศูนย์รังสิต,RangsitCampus,เศรษฐศาสตรบัณฑิต,Bachelor of Economics  Program,A,ภาษาไทย ปกติ,11,เศรษฐศาสตร์,Economics,"18,000 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 81.40
10050205903701A,thammasat,005,05,02,ศูนย์รังสิต,RangsitCampus,สังคมสงเคราะห์ศาสตรบัณฑิต,Bachelor of Social Work Program,A,ภาษาไทย ปกติ,37,สังคมสงเคราะห์ศาสตร์,Social Work,"14,900 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 85 - 90
10050206113101A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาจิตวิทยา,Bachelor of Science Program in Psychology,A,ภาษาไทย ปกติ,31,จิตวิทยา,Psychology,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 94
10050206900001A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.ศิลป์รวม,Faculty of Liberal Arts,A,ภาษาไทย ปกติ,00,สังคมศาสตร์ทั่วไป,General Social Sciences,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",0
10050206900101A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาศาสตร์,Bachelor of Arts Program in Linguistics,A,ภาษาไทย ปกติ,01,การจัดการการสื่อสาร,Communication Management,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 93
10050206901201A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกบรรณารักษศาสตร์และสารสนเทศศาสตร์,Bachelor of Arts Program in Library and Information Science,A,ภาษาไทย ปกติ,12,บรรณารักษศาสตร์,Library Science,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 96
10050206901401A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกประวัติศาสตร์,Bachelor of Arts  Program  in History,A,ภาษาไทย ปกติ,14,ประวัติศาสตร์,History,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 82
10050206901501A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกปรัชญา,Bachelor of Arts Program in Philosophy,A,ภาษาไทย ปกติ,15,ปรัชญา ศาสนา,Philosophy/Religion,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 52
10050206901801A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาและวัฒนธรรมจีน,Bachelor of Arts Program in ChineseLanguageand Culture,A,ภาษาไทย ปกติ,18,จีน,Chinese,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 92
10050206901901A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาญี่ปุ่น,Bachelor of Arts  Program in Japanese,A,ภาษาไทย ปกติ,19,ญี่ปุ่น,Japanese,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 100
10050206902001A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.สาขาวิชาภาษาไทย,Bachelor of Arts Program in Thai,A,ภาษาไทย ปกติ,20,ไทย,Thai,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 100
10050206902401A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาฝรั่งเศส,Bachelor ofArts Programin French,A,ภาษาไทย ปกติ,24,ยุโรป,Europe,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 72.5
10050206902402A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาเยอรมัน,Bachelor of Arts Program in German,A,ภาษาไทย ปกติ,24,ยุโรป,Europe,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 88
10050206902403A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษารัสเซีย,Bachelor of Arts Program in Russian,A,ภาษาไทย ปกติ,24,ยุโรป,Europe,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 72
10050206902404A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกสเปนและลาตินอเมริกันศึกษา,Bachelor of Arts Program in Hispanic and Latin American Studies,A,ภาษาไทย ปกติ,24,ยุโรป,Europe,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 100
10050206902501A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.สาขาวิชาภาษาอังกฤษ,Bachelor of Arts Program in English,A,ภาษาไทย ปกติ,25,อังกฤษ,English,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 94
10050206902502A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,ศศ.บ.วิชาเอกภาษาและวรรณคดีอังกฤษ,Bachelor of Arts Program in English Language and Literature,A,ภาษาไทย ปกติ,25,อังกฤษ,English,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 80
10050206903001A,thammasat,005,06,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,Bachelor of Science Program in Geography and Geoinformatics,A,ภาษาไทย ปกติ,30,ภูมิศาสตร์,Geography,"16,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 93
10050207903801A,thammasat,005,07,02,ศูนย์รังสิต,RangsitCampus,วารสารศาสตรบัณฑิต,Bachelor of  Arts Program in Journalism,A,ภาษาไทย ปกติ,38,สื่อสารมวลชนและเอกสาร,Mass Communication and Documentation,"16,000 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 88.89
10050208903501A,thammasat,005,08,02,ศูนย์รังสิต,RangsitCampus,สังคมวิทยาและมานุษยวิทยาบัณฑิต,B.A.(Sociology and Anthropology),A,ภาษาไทย ปกติ,35,สังคมวิทยา,Sociology,"14,200 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 86.11
10050208903501B,thammasat,005,08,02,ศูนย์รังสิต,RangsitCampus,สม.บ.สาขาวิชาการวิจัยทางสังคม (โครงการพิเศษ),B.A.(Social Research),B,ภาษาไทย พิเศษ,35,สังคมวิทยา,Sociology,"หน่วยกิตละ 1,200 บาท (ยังไม่รวม
ค่าธรรมเนียมอื่นๆ) ค่าใช้จ่ายภาคเรียนที่ 1
ประมาณ 45,000 บาท และภาคเรียนที่ 2
ประมาณ 25,000 บาท",ร้อยละ 85.57
10050209210301A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาคณิตศาสตร์,Bachelor of Science  Program in Mathematics,A,ภาษาไทย ปกติ,03,คณิตศาสตร์,Mathematics,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 47.73
10050209210301B,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาคณิตศาสตร์ (โครงการพิเศษ),Bachelor of Science  Program in Mathematics,B,ภาษาไทย พิเศษ,03,คณิตศาสตร์,Mathematics,"330,785 (ตลอดหลักสูตร)",ร้อยละ 45.45
10050209210302A,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาคณิตศาสตร์ประยุกต์,Bachelor of Science Program in Applied Mathematics,A,ภาษาไทย ปกติ,03,คณิตศาสตร์,Mathematics,"18,700 บาท ต่อภาคการศึกษา ดูรายละเอียดเพิ่มเติมที่ https://reg.tu.ac.th/content/10",ร้อยละ 64.70
10050209210302B,thammasat,005,09,02,ศูนย์รังสิต,RangsitCampus,วท.บ.สาขาวิชาคณิตศาสตร์การจัดการ (โครงการพิเศษ),Bachelor of Science Program in Management Mathematics,B,ภาษาไทย พิเศษ,03,คณิตศาสตร์,Mathematics,"320,485 (ตลอดหลักสูตร)",ร้อยละ 80.70
